timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
368000,368000,5.820766e-11,0.0,5.820766e-11,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
372000,372000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
468000,468000,0.0,0.0,7.959007e-11,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
568000,568000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
668000,668000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
768000,768000,0.0,1.3213139e-10,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
868000,868000,6.8304928e-12,2.910383e-11,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
964000,964000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1068000,1068000,5.011501e-11,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1168000,1168000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1268000,1268000,0.0,0.0,7.275958e-12,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1368000,1368000,0.0019999966,0.0,0.0019999966,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1468000,1468000,0.0020000008,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1568000,1568000,0.0020000003,0.0,0.0020000022,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1668000,1668000,0.0020000003,0.0,0.0020000022,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1768000,1768000,0.0019999985,0.0,0.0019999985,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1868000,1868000,0.0019999994,0.0,0.0019999975,1.8626451e-09,nan,nan,nan,nan,nan,nan,nan,nan,0
1968000,1968000,0.0019999994,0.0,0.0019999975,1.8626451e-09,nan,nan,nan,nan,nan,nan,nan,nan,0
