timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
716000,716000,0,nan,nan,-5.5814275e-05,0.000120679666,0.005244331,7.1015056e-06,-6.390119e-06,0.0,0.0006438666,0.0031652474,0.08464969,2.4237323,0.0017753763,-0.0015975296,-0.077266715,0.04073465,0.03463504,-0.17029977,1.6165782,0.0,nan,0.102309175,14.1506605,10.002412,7.07131,3.1622956,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
724000,724000,0,nan,nan,-5.124177e-05,0.00014896387,0.0061651007,7.1015056e-06,-6.390119e-06,0.0,0.0012026146,0.0035328444,0.085387066,2.3390543,0.0017753763,-0.0015975296,-0.077266715,0.06797509,0.051232357,-0.1487797,1.6165874,0.0,nan,0.10257854,14.153247,10.003143,7.0714116,3.1622982,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
732000,732000,0,nan,nan,-4.2156717e-05,0.00018162698,0.0071217986,7.1015056e-06,-6.390119e-06,0.0,0.0016923171,0.004052561,0.08611437,2.258185,0.0017753763,-0.0015975296,-0.077266715,0.04446007,0.05476581,-0.12892391,1.6165788,0.0,nan,0.10280311,14.156171,10.003971,7.071531,3.1623008,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
740000,740000,0,nan,nan,-2.9852605e-05,0.00021943839,0.008113441,7.1015056e-06,-6.390119e-06,0.0,0.0020190047,0.0046585947,0.0868422,2.1808186,0.0017753763,-0.0015975296,-0.077266715,0.03659268,0.069278315,-0.12633762,1.6165738,0.0,nan,0.10298322,14.159429,10.004892,7.0716686,3.1623032,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
748000,748000,0,nan,nan,-1.3603825e-05,0.00026272138,0.009137597,7.1015056e-06,-6.390119e-06,0.0,0.002602045,0.005202266,0.087265536,2.1058507,0.0017753763,-0.0015975296,-0.077266715,0.06201272,0.058841743,-0.1595374,1.6165738,0.0,nan,0.10312195,14.163017,10.005909,7.0718246,3.1623058,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
756000,756000,0,nan,nan,8.327962e-06,0.00031097053,0.010170911,7.1015056e-06,-6.390119e-06,0.0,0.0032860127,0.0057579856,0.08754064,2.0332277,0.0017753763,-0.0015975296,-0.077266715,0.08630061,0.057205163,-0.16018188,1.6165905,0.0,nan,0.103242904,14.166937,10.007018,7.071999,3.1623082,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
764000,764000,0,nan,nan,3.6914433e-05,0.00036418752,0.011212811,7.1015056e-06,-6.390119e-06,0.0,0.003978923,0.0063038934,0.08793625,1.9630697,0.0017753763,-0.0015975296,-0.077266715,0.06553807,0.05506533,-0.13802758,1.6166015,0.0,nan,0.10334564,14.171185,10.008221,7.072191,3.1623106,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
772000,772000,0,nan,nan,7.102646e-05,0.00042193034,0.012263,7.1015056e-06,-6.390119e-06,0.0,0.004522256,0.0067968694,0.088296704,1.8950952,0.0017753763,-0.0015975296,-0.077266715,0.059257798,0.059996683,-0.13805646,1.6166167,0.0,nan,0.10343041,14.175758,10.009516,7.0724025,3.162313,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
780000,780000,0,nan,nan,0.00011023645,0.00048478838,0.013319538,7.1015056e-06,-6.390119e-06,0.0,0.005075304,0.0073863342,0.08835,1.828924,0.0017753763,-0.0015975296,-0.077266715,0.06286037,0.05697642,-0.17759483,1.6166177,0.0,nan,0.10349943,14.1806555,10.010903,7.0726314,3.1623156,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
788000,788000,0,nan,nan,0.00015490402,0.00055185606,0.014380856,7.1015056e-06,-6.390119e-06,0.0,0.0057085133,0.0077581303,0.0885177,1.764883,0.0017753763,-0.0015975296,-0.077266715,0.07255861,0.040579673,-0.15266891,1.6166052,0.0,nan,0.10355462,14.185875,10.0123825,7.0728793,3.162318,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
