timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
720000,720000,0,nan,nan,0.00012257972,-0.00014344086,-0.0022603082,7.1010354e-06,-6.389038e-06,0.0,0.002808499,-0.0039153504,-0.033545043,2.4237218,0.0017752588,-0.0015972594,-0.07726617,0.03383134,-0.044648867,-0.17028487,0.00037868242,0.0,nan,0.1098146,14.1506605,10.002412,7.07131,3.1622956,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
728000,728000,0,nan,nan,0.0001412011,-0.0001739967,-0.00226899,7.1010354e-06,-6.389038e-06,0.0,0.0030490186,-0.004409397,-0.028782668,2.3390424,0.0017752588,-0.0015972594,-0.07726617,0.04928202,-0.07150003,-0.14878808,0.00038715775,0.0,nan,0.111012995,14.153247,10.003143,7.0714116,3.1622982,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
736000,736000,0,nan,nan,-9.764602e-06,-9.466707e-05,0.0064707045,7.1010354e-06,-6.389038e-06,0.0,0.0015824748,-0.003866654,0.13785915,2.2581716,0.0017752588,-0.0015972594,-0.07726617,0.053987544,-0.048252054,-0.12893601,1.6344585,0.0,nan,0.10345418,14.156171,10.003971,7.0715313,3.1623008,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
744000,744000,0,nan,nan,3.6590418e-06,-0.00012321497,0.0076118223,7.1010354e-06,-6.389038e-06,0.0,0.0018603543,-0.0032544993,0.13699327,2.1808047,0.0017752588,-0.0015972594,-0.07726617,0.037972,0.07586658,-0.12631248,1.6344562,0.0,nan,0.10348445,14.159429,10.004892,7.0716295,3.1623032,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
752000,752000,0,nan,nan,1.974454e-05,-0.00014650394,0.008801489,7.1010354e-06,-6.389038e-06,0.0,0.0023764016,-0.002682362,0.13590975,2.1058362,0.0017752588,-0.0015972594,-0.07726617,0.063599624,0.06576364,-0.15950947,1.6344588,0.0,nan,0.10345734,14.163017,10.005909,7.0717454,3.1623058,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
760000,760000,0,nan,nan,3.9793405e-05,-0.00016430867,0.010034541,7.1010354e-06,-6.389038e-06,0.0,0.0030202924,-0.002073715,0.13472839,2.0332127,0.0017752588,-0.0015972594,-0.07726617,0.08911444,0.06446498,-0.16011296,1.6344775,0.0,nan,0.10337824,14.166937,10.007018,7.07188,3.1623082,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
768000,768000,0,nan,nan,6.495131e-05,-0.00017633225,0.011307519,7.1010354e-06,-6.389038e-06,0.0,0.0036504837,-0.0014517704,0.13371404,1.9630537,0.0017752588,-0.0015972594,-0.07726617,0.064808145,0.061541647,-0.1380667,1.6344903,0.0,nan,0.103249565,14.171185,10.008221,7.0720325,3.1623106,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
776000,776000,0,nan,nan,9.392181e-05,-0.00018272534,0.012617554,7.1010354e-06,-6.389038e-06,0.0,0.0041174483,-0.0008652826,0.13270856,1.8950778,0.0017752588,-0.0015972594,-0.07726617,0.05844577,0.066182934,-0.13809744,1.6345081,0.0,nan,0.10307419,14.175757,10.009516,7.0722027,3.162313,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
784000,784000,0,nan,nan,0.0001264248,-0.00018258329,0.013960391,7.1010354e-06,-6.389038e-06,0.0,0.0046206955,-0.00015550088,0.13143899,1.828906,0.0017752588,-0.0015972594,-0.07726617,0.06450804,0.06321727,-0.17757154,1.6345115,0.0,nan,0.10285659,14.180655,10.010903,7.072392,3.1623156,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
792000,792000,0,nan,nan,0.00016311064,-0.00017642028,0.01533235,7.1010354e-06,-6.389038e-06,0.0,0.005225176,0.00036125025,0.13032405,1.7648644,0.0017752588,-0.0015972594,-0.07726617,0.07448726,0.046796933,-0.15265028,1.6345012,0.0,nan,0.102600835,14.185874,10.0123825,7.0725994,3.162318,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
